dt,E2-TH-1-D-01-TEMP,E2-TH-1-D-02-TEMP,E2-TH-1-D-03-TEMP
2026-02-15 01:40:01.001000+07:00,29.2,29.9,
2026-02-15 01:45:01.001000+07:00,29.2,30.0,
2026-02-15 01:50:01.001000+07:00,29.4,30.1,
2026-02-15 01:55:01.001000+07:00,29.3,29.8,
2026-02-15 02:00:01.001000+07:00,29.3,30.2,
2026-02-15 02:05:01.001000+07:00,29.3,30.1,
2026-02-15 02:10:01.001000+07:00,29.4,29.9,
2026-02-15 02:15:01.001000+07:00,29.3,30.1,
2026-02-15 02:20:01.001000+07:00,29.3,29.8,
2026-02-15 02:25:01.001000+07:00,29.2,29.9,
2026-02-15 02:30:01.001000+07:00,29.1,30.2,
2026-02-15 02:35:01.001000+07:00,29.0,29.9,
2026-02-15 02:40:01.001000+07:00,29.3,29.9,
2026-02-15 02:45:01.001000+07:00,29.1,29.9,
2026-02-15 02:50:01.001000+07:00,29.0,29.8,
2026-02-15 02:55:01.001000+07:00,29.2,29.9,
2026-02-15 03:00:01.001000+07:00,29.0,29.7,
2026-02-15 03:05:01.001000+07:00,29.0,29.7,
2026-02-15 03:10:01.001000+07:00,29.3,29.8,
2026-02-15 03:15:01.001000+07:00,29.2,29.8,
2026-02-15 03:20:01.001000+07:00,29.2,30.1,
2026-02-15 03:25:01.001000+07:00,29.0,30.0,
2026-02-15 03:30:01.001000+07:00,29.3,30.0,
2026-02-15 03:35:01.001000+07:00,29.0,29.7,
2026-02-15 03:40:01.001000+07:00,29.2,29.7,
2026-02-15 03:45:01.001000+07:00,29.3,30.0,
2026-02-15 03:50:01.001000+07:00,28.9,29.8,
2026-02-15 03:55:01.001000+07:00,29.1,29.9,
2026-02-15 04:00:01.001000+07:00,29.3,29.6,
2026-02-15 04:05:01.001000+07:00,29.0,30.0,
2026-02-15 04:10:01.001000+07:00,28.9,29.7,
2026-02-15 04:15:01.001000+07:00,29.2,30.0,
2026-02-15 04:20:01.001000+07:00,29.2,29.7,
2026-02-15 04:25:01.001000+07:00,29.1,29.9,
2026-02-15 04:30:01.001000+07:00,29.0,29.8,
2026-02-15 04:35:01.001000+07:00,29.0,30.0,
2026-02-15 04:40:01.001000+07:00,29.1,30.0,
2026-02-15 04:45:01.001000+07:00,29.1,29.9,
2026-02-15 04:50:01.001000+07:00,29.2,29.9,
2026-02-15 04:55:01.001000+07:00,29.2,29.8,
2026-02-15 05:00:01.001000+07:00,29.0,29.7,
2026-02-15 05:05:01.001000+07:00,28.9,29.8,
2026-02-15 05:10:01.001000+07:00,29.1,29.7,
2026-02-15 05:15:01.001000+07:00,29.3,30.0,
2026-02-15 05:20:01.001000+07:00,29.3,29.9,
2026-02-15 05:25:01.001000+07:00,29.0,29.9,
2026-02-15 05:30:01.001000+07:00,28.9,29.9,
2026-02-15 05:35:01.001000+07:00,29.1,30.1,
2026-02-15 05:40:01.001000+07:00,29.2,29.8,
2026-02-15 05:45:01.001000+07:00,28.9,30.0,
2026-02-15 05:50:01.001000+07:00,29.1,30.1,
2026-02-15 05:55:01.001000+07:00,29.2,30.0,
2026-02-15 06:00:01.001000+07:00,29.3,29.7,
2026-02-15 06:05:01.001000+07:00,29.2,29.8,
2026-02-15 06:10:01.001000+07:00,29.2,29.9,
2026-02-15 06:15:01.001000+07:00,29.2,29.7,
2026-02-15 06:20:01.001000+07:00,28.9,29.7,
2026-02-15 06:25:01.001000+07:00,29.0,29.9,
2026-02-15 06:30:01.001000+07:00,29.2,29.6,
2026-02-15 06:35:01.001000+07:00,28.8,29.7,
2026-02-15 06:40:01.001000+07:00,29.2,29.7,
